,Mean AUC
CoxReduced,0.7842919670785929
Cox,0.8409628202492944
Cox-TV,0.8602642598447802
CoxNet,0.841480809587859
GradBoost,0.8370697342546628
RSF,0.8334354365346895
KM,0.5
Gompertz,0.8394706072862647
DeepPCH,0.8449602613211175
DeepSurv,0.8399834409227622
DeepHit,0.8456057288933421
RRF-TV,0.8519251480989251
