,Bias
CoxReduced,-1.5367710204925504
Cox,-1.1314991539870873
Cox-TV,-1.18214208443944
CoxNet,-1.1666683900323123
GradBoost,-1.3957295204076738
RSF,-1.7151666923962134
KM,-3.0832478607509457
Gompertz,-1.1908422462595802
DeepPCH,-1.328133681957761
DeepSurv,-1.0803741195339946
DeepHit,-0.8248511499098617
RRF-TV,-1.59089371999853
