,IBS
CoxReduced,0.14583263404318644
Cox,0.12908995684004335
Cox-TV,0.12346950647540346
CoxNet,0.12869169621264534
GradBoost,0.13080147910936746
RSF,0.1360196532235851
KM,0.21441203751646495
Gompertz,0.12856159714149387
DeepPCH,0.129088698214336
DeepSurv,0.12904755079302047
DeepHit,0.12891367207059531
RRF-TV,0.13057368939327776
