,Bias
CoxReduced,-1.5010792127634118
Cox,-1.1519483072935535
Cox-TV,-1.2464131641736305
CoxNet,-1.1824279317484538
GradBoost,-1.2484520498696436
RSF,-1.3478260409286074
KM,-2.3266450533781664
Gompertz,-1.242703577953215
DeepPCH,-1.2883751035807542
DeepSurv,-1.1823916461266302
DeepHit,-0.9051270147148385
RRF-TV,-1.2393919489325083
