,MAE
CoxReduced,3.458822009334048
Cox,3.0181561911829102
Cox-TV,3.0905177829482917
CoxNet,3.0244224753171
GradBoost,3.100114455417854
RSF,3.2373337049498865
KM,5.296483223979667
Gompertz,3.025519503898959
DeepPCH,3.0642704616014615
DeepSurv,3.0077350617772605
DeepHit,2.9057417014087035
RRF-TV,3.2786900728108175
