,Mean AUC
CoxReduced,0.7962170820463736
Cox,0.8455858502916166
Cox-TV,0.8574514930952112
CoxNet,0.8459240006752654
GradBoost,0.8384571177340244
RSF,0.8341979965458554
KM,0.5
Gompertz,0.8451849641957205
DeepPCH,0.8463316945696555
DeepSurv,0.8433806357482818
DeepHit,0.8478855406340204
RRF-TV,0.8420519861860973
