,Bias
CoxReduced,-1.5086083623000999
Cox,-1.0507133444319425
Cox-TV,-1.3153762506858742
CoxNet,-1.111147152732853
GradBoost,-1.3537703163514638
RSF,-1.7330070177083174
KM,-4.6633284834358335
Gompertz,-1.138048365430679
DeepPCH,-1.4556301375257903
DeepSurv,-1.044212344573909
DeepHit,-0.7670395732045774
RRF-TV,-1.524144356895905
