,time,CoxReduced,Cox,Cox-TV,CoxNet,GradBoost,RSF,KM,Gompertz,DeepPCH,DeepSurv,DeepHit,RRF-TV
0,1,0.008918581241833649,0.008420161160690916,0.008279762519472163,0.008418810242913119,0.008686469490763111,0.008699419243162013,0.009199011816784876,0.008389375976820544,0.008378035050719124,0.008452043209097149,0.008495371539476068,0.008737563074007413
1,2,0.016661109623174974,0.015225270853009202,0.015050371834719883,0.015274919833416872,0.01622490512921681,0.015821470387552453,0.017685874873142514,0.015616541221198677,0.014860883391015817,0.01534790668510471,0.015255632003006468,0.015957815355112
2,3,0.024275049418197355,0.022268532338558952,0.021784498543977297,0.022361347298110634,0.02377107178786253,0.023276948171967286,0.027170879063473184,0.022491615226736934,0.021954784120182456,0.022381585175030076,0.022288482232514974,0.02298773136689024
3,4,0.0347097233727387,0.03205080986311707,0.030937784607301955,0.03211500907951024,0.03408056333344603,0.03326390797668267,0.04003904024926252,0.03222332353767117,0.03197257606418157,0.03220084337189371,0.03205650454852481,0.03285424791029787
4,5,0.04425189689640285,0.0403718736962838,0.038470798098888405,0.040419192656644204,0.042692804023667714,0.04206429158529337,0.05346608218425311,0.04068856424215409,0.04013436929875541,0.04044995186690766,0.04007950213813763,0.04066597025255271
5,6,0.05226204398779643,0.04785589136726121,0.045852216121705695,0.04784981348126176,0.0503447714612527,0.050214712817818974,0.06716087907896325,0.04788083543292528,0.04736050627294129,0.047922933972694676,0.047041615830588177,0.048040987466326825
6,7,0.060762218907684906,0.05563076994038016,0.05360931627963294,0.05565201368854942,0.0587650297321884,0.05890981635187642,0.08023659319624522,0.05574519397901285,0.05528071655592226,0.05573858389940046,0.054940544552234516,0.055734100883121244
7,8,0.0727994930357695,0.06681089955717166,0.06283103258384619,0.0668899125964764,0.07044260067766148,0.07057890575079483,0.09680423518800332,0.06723034460277764,0.06669847017088971,0.06721358222087634,0.06575862203635291,0.06596849870571041
8,9,0.08412568979810207,0.07703136883821843,0.07175209987596522,0.07711476409993243,0.08146533675067788,0.0813867436376605,0.11325037994371531,0.07745061235386885,0.07821672628573959,0.07823508147923594,0.07751404788655598,0.07555470350202224
9,10,0.09211719010141807,0.0848401449601489,0.07757095790670979,0.08483442607145923,0.08861168905015428,0.08885123108884736,0.1280463442068786,0.08463228463168379,0.08508326968935759,0.08556248066730143,0.08469447192188365,0.08098132040047847
10,11,0.09785808828505893,0.0905240214854542,0.08190512355132559,0.09047260228084586,0.09452032216438866,0.09504935378683746,0.13884758545832662,0.09041485506350336,0.0903317808321365,0.09111686442559619,0.09077388383252451,0.08589639022915345
11,12,0.10762947368467096,0.09709662727563102,0.08804815400534233,0.09702742142572807,0.10111146908700872,0.10250748620996239,0.15538307990405267,0.09664762502348702,0.09758833209535185,0.09791081500972441,0.09849380561029182,0.09187024380898526
12,13,0.11372710607472425,0.10246534934468753,0.09483949970733067,0.10235963186669758,0.10697316072673774,0.10861545232972418,0.1677041975114466,0.10205524057496974,0.10356394310031952,0.10364683363305743,0.10444560658977214,0.09892649668364328
13,14,0.12398774972414726,0.11344274810672174,0.10494541624616777,0.11310348170175731,0.11688266622975556,0.11860332449652158,0.18276976806150763,0.11295512967205348,0.11454415501012755,0.11467106004369373,0.11561328173771142,0.10793248040264226
14,15,0.1354186102849185,0.12519656847648067,0.11719204063311729,0.12464637854100946,0.12785778916413168,0.13022338074922035,0.1973286392791101,0.12443011211902666,0.12556184115144006,0.12601459320766362,0.12815411967529483,0.12005473774692292
15,16,0.14383281905559314,0.13318582365857645,0.12303202339254324,0.13256257146718187,0.13574221181579552,0.13825286605644582,0.2124774143057721,0.13153671358924915,0.132287833324174,0.1329983967568538,0.13524571395017343,0.12723370599264364
16,17,0.15024706573058608,0.13786138777811643,0.1258592923130836,0.13717233642535195,0.13962018656226008,0.1427421009616896,0.2257429368449999,0.13755855159229705,0.13611070791675667,0.13695044831709247,0.13879435542956742,0.12996055848754828
17,18,0.1614376931718894,0.14980649230428952,0.13750708956921953,0.1489542648400604,0.14983732950219006,0.15196409549816267,0.2387797101879964,0.14840953787751962,0.14629684490353106,0.14667712993820117,0.15007793187848778,0.14089298831538669
18,19,0.15962895637247188,0.14934772377732103,0.13580909121708037,0.14837652012513125,0.14857634165107583,0.15142825055848552,0.24687813391358868,0.14785775393400516,0.1452966146217357,0.14586911978265885,0.14895370842919095,0.1402282527243301
19,20,0.15787496367213277,0.14501430244360194,0.13319849326462493,0.1441379475949812,0.1449393534772688,0.1506028151805226,0.2544292499620051,0.14403215329910984,0.14033741930729965,0.14030949385655456,0.1426169556996841,0.13943417178972684
20,21,0.15673631127374968,0.14808281943908144,0.13365585143071593,0.1471911453301396,0.14604129538041863,0.15217597364006927,0.25558215886435154,0.14620670080434572,0.14328998870617346,0.1427467455575048,0.145772370046618,0.1406296841026552
21,22,0.1558484308264823,0.14737290868723296,0.13277186051403134,0.14640311494387992,0.1471612417496078,0.15351242255841105,0.2616563534273106,0.14570270595869647,0.144325344780555,0.14220900346477616,0.1470934844622242,0.14075096315842867
22,23,0.15812526833724724,0.14803706830352756,0.13267499135379834,0.14718209567457816,0.14818921627250903,0.1535274799252406,0.2668877603257034,0.1476926148863495,0.1467899216163884,0.1431324413512764,0.1491674909033573,0.14221830110412015
23,24,0.16500524602062774,0.15652157502790925,0.13895588569276435,0.15546037105582866,0.1550050400849867,0.16165763897736443,0.26783670172870067,0.15515541124596793,0.15321159243794194,0.15101110414778326,0.157068708963167,0.1496133533440972
24,25,0.15746654022710838,0.1462273258905628,0.1325388759901876,0.1448634890720202,0.14225960326233716,0.15132268876728924,0.26630964082770525,0.14423320036659984,0.14215751203727775,0.13931496468216023,0.1775783986334902,0.13940232224420085
