,Bias
CoxReduced,-1.6551811761580273
Cox,-1.2731867063700268
Cox-TV,-1.393114720980208
CoxNet,-1.306275483269749
GradBoost,-1.5342764719340725
RSF,-1.6516714519975415
KM,-2.801684384236795
Gompertz,-1.4655213296563645
DeepPCH,-1.5066338608944603
DeepSurv,-1.411120583276086
DeepHit,-1.0933196746868852
RRF-TV,-1.5378756633849895
