,Mean AUC
CoxReduced,0.7507908331568228
Cox,0.8179761477000569
Cox-TV,0.8330797451387553
CoxNet,0.8181187469748596
GradBoost,0.809582432926168
RSF,0.8034763920899574
KM,0.5
Gompertz,0.8176553808583974
DeepPCH,0.8187844623445031
DeepSurv,0.8147916900434229
DeepHit,0.8212360407335388
RRF-TV,0.8211581448593099
