,MAE
CoxReduced,1.7230801876390993
Cox,1.5605840230541934
Cox-TV,1.5521275380658728
CoxNet,1.5636473963671207
GradBoost,1.5312720438006397
RSF,1.6075759443610405
KM,1.93309384568962
Gompertz,1.5629190619233282
DeepPCH,1.5487672504936594
DeepSurv,1.535208271112058
DeepHit,1.4536256157561485
RRF-TV,1.5639762492755684
