,MAE
CoxReduced,1.8038116396036536
Cox,1.6153213492493708
Cox-TV,1.5712850731230945
CoxNet,1.6164704639780234
GradBoost,1.5537810518051982
RSF,1.5655938668137912
KM,1.9804262920214741
Gompertz,1.5763057004851673
DeepPCH,1.5722483551277038
DeepSurv,1.5607365975844851
DeepHit,1.4516450711869209
RRF-TV,1.5563412566648684
