,Mean AUC
CoxReduced,0.8082426320694888
Cox,0.8529225450612012
Cox-TV,0.8756111501774798
CoxNet,0.854080207374941
GradBoost,0.855651207459042
RSF,0.8490912042561739
KM,0.5
Gompertz,0.8524570754936942
DeepPCH,0.8590334053205211
DeepSurv,0.8582076216420514
DeepHit,0.8586171611092793
RRF-TV,0.8648542563759156
