,Bias
CoxReduced,-1.4276718624763376
Cox,-1.0707786799638235
Cox-TV,-1.1695390189390245
CoxNet,-1.1063270471022444
GradBoost,-1.1737813336558895
RSF,-1.442494928041373
KM,-2.7588922657083903
Gompertz,-1.1298765498953804
DeepPCH,-1.2352103500461502
DeepSurv,-1.0333302818983987
DeepHit,-0.7791766487541448
RRF-TV,-1.2865597542237812
