,time,CoxReduced,Cox,Cox-TV,CoxNet,GradBoost,RSF,KM,Gompertz,DeepPCH,DeepSurv,DeepHit,RRF-TV
0,1,0.00941786551865087,0.009393885378321516,0.009194611312335708,0.009354669711179465,0.009274383584283907,0.009253481732920085,0.009838563454240501,0.009274801689277695,0.00929090406348473,0.009279181844384806,0.009324033637668865,0.009300886551324206
1,2,0.018602935952912358,0.018547391588710674,0.01784522162902792,0.018437080057832754,0.01817735820609876,0.01829540050410384,0.019800193989141308,0.0185813712461764,0.01847759050878613,0.018399591282597102,0.01858224043977054,0.018866155447776752
2,3,0.031721452895047395,0.02999885330739164,0.02867840204663751,0.02987957634672542,0.02996490058065481,0.030077674103962233,0.03424435530621884,0.02951806585465808,0.029568817648079764,0.029803034456510023,0.030296309801659673,0.030547390365401224
3,4,0.04159007764760727,0.03761525522675475,0.036779240610992206,0.03751107132712529,0.039272545687644864,0.03905147854440243,0.04504084459031803,0.037574264460423036,0.037485470321871356,0.03828340129862,0.03903963013433137,0.03945120296549584
4,5,0.04914311035521387,0.04442595840967437,0.04308743023624188,0.044230608050660675,0.04670866894086817,0.046917309231956104,0.05480769803085977,0.04518485714223022,0.044208007838459726,0.045278792501332446,0.04644544196406443,0.04693806066840106
5,6,0.06387399943327239,0.05877741395930396,0.05655794772402511,0.058658197857104404,0.061792500085816264,0.06288248886590399,0.07587959022215966,0.05901513992368516,0.05931307950302311,0.059997108237044836,0.06146419900849968,0.06134014531806342
6,7,0.07182302174171987,0.06516723789224081,0.06071181571990146,0.06495666580751479,0.06928980600371895,0.07049592068413998,0.08703025906180867,0.06588304925051779,0.06600580441345824,0.06700898716967994,0.06842029930852409,0.0691487242832806
7,8,0.0887850692855432,0.07843469919453648,0.07324829033201481,0.0780725924257533,0.08419167536631188,0.08505664212183624,0.10594709199189133,0.07892046107550728,0.07874834933166559,0.08011908656973493,0.08097246765948383,0.08100377272817576
8,9,0.10253028340885799,0.09182686986611542,0.0848719088356256,0.09137679933612071,0.09893263102278844,0.09919594642158754,0.12093740455988056,0.09222951480129915,0.09218330446973691,0.0940062163126828,0.09530636252913947,0.0923232204703373
9,10,0.11059807236689928,0.09935150106850021,0.0911640800556586,0.098713900336523,0.10551464811490936,0.10648818720708438,0.13564764069529076,0.0996096849233738,0.09948562304399583,0.10141305953502265,0.10236055241537606,0.09726738900078115
10,11,0.11864717137738486,0.10911095609688379,0.09927638923644931,0.10841313063040665,0.11311494685257621,0.11415415503184773,0.1514078390611751,0.10913083301762141,0.10825455819872114,0.10910212959627393,0.11074031649610669,0.10362216295231406
11,12,0.12458980702082778,0.11416505809726073,0.10396527015876114,0.11362456708771189,0.11946843101586065,0.12192181960280461,0.16399517820157997,0.11452888710908908,0.11389652218567789,0.11429979593163767,0.11649232413326736,0.1097889442536692
12,13,0.13196791973744867,0.12031731491276584,0.109419498365953,0.1199037985947674,0.1257222216356732,0.12801208209393108,0.17607826370388166,0.12066738440276374,0.12002418189330982,0.12070324480057976,0.12152175412937567,0.11709421351913321
13,14,0.1389705555539952,0.12878292585110065,0.11580512734709905,0.12823873886852316,0.134201258863813,0.13796983258998305,0.18952747148693877,0.12915144017475458,0.12782841730510472,0.12924306281964815,0.13142696784805735,0.1257361053517815
14,15,0.14628934960957024,0.13629389838810124,0.120386823234006,0.13519057283964916,0.14307128193731905,0.1484186382649218,0.2012657974366494,0.13613944703270045,0.13680454927372254,0.13691008715978803,0.14078519616813534,0.13218194475253753
15,16,0.15292376217934173,0.1417117181657691,0.13007379136867844,0.14047443857343594,0.14692529811893784,0.15339375165331917,0.2160218446529308,0.14075599999436347,0.14208199359238602,0.14119656538460232,0.14363372519248524,0.1395790343130017
16,17,0.15807735912907422,0.14740201478933812,0.13629437293419125,0.14631094532068276,0.1519032630778192,0.15836640838727387,0.22664144001153388,0.14604289226855752,0.14649297653750368,0.14532102521530246,0.14761352960624027,0.1460990711968089
17,18,0.16588744483958304,0.15214057306385514,0.13851605802799363,0.15118455923928767,0.1575393131152086,0.16267726695375823,0.23440840682288522,0.15079132625728017,0.14986961295417398,0.14987374073274287,0.15229881949690827,0.15094874500299535
18,19,0.17347246575871156,0.163981022566193,0.14871243998274494,0.16302349246240558,0.1687960499005613,0.17255754800435533,0.24287098148835667,0.16180366590522452,0.1619895339147169,0.16246248277427472,0.16550950355191676,0.16326425668515124
19,20,0.16845119671232056,0.16041444558446127,0.147904266063725,0.15966543332742597,0.16604305517025503,0.17177569710271148,0.24784160254711118,0.15909692820292332,0.15989357877937196,0.1589897689420344,0.15953499951788988,0.16216339600000967
20,21,0.16759412468287033,0.1619557169500887,0.14628175217448625,0.16143644124187964,0.16603808157988648,0.17224912421292762,0.24928789917007396,0.15985672733043002,0.16077302746028285,0.1594899116808185,0.16134605035478056,0.15874116036852326
21,22,0.16684366973493925,0.15712598314754495,0.1471585648265819,0.15705256131174117,0.1628538905318006,0.17208001031717818,0.2543721931292218,0.15633316694329294,0.15763681974213453,0.1547221159404219,0.15594017764514775,0.16283417361632113
22,23,0.1665431283277951,0.1568944132570528,0.14661146295941044,0.1568814059908168,0.16412261004703363,0.1716637655397253,0.25553283971421686,0.15702599274101064,0.15816207824232126,0.15407399109065667,0.15627577777053028,0.16397720292709633
23,24,0.1667805392605345,0.1544603905260328,0.14636859546723235,0.15469988315925182,0.16202822018353322,0.17020665924116288,0.25531953244791494,0.15296770396246767,0.15526467613473197,0.1511514915575419,0.15348909674731817,0.16324793563961693
24,25,0.16663577874294108,0.1565825840318644,0.15112621010969488,0.15641841839134962,0.16309373074434944,0.16902500532445022,0.2593135821944282,0.15281350925834924,0.1546505744174007,0.15018697379900509,0.186607784012512,0.1671230910146596
