,IBS
CoxReduced,0.10635478159958567
Cox,0.09847353004368369
Cox-TV,0.09036096699994678
CoxNet,0.09809176798899998
GradBoost,0.10018039300795052
RSF,0.10230173844593238
KM,0.15974659683671058
Gompertz,0.09795523787667999
DeepPCH,0.09734859979987148
DeepSurv,0.09725835428235462
DeepHit,0.0993724052268478
RRF-TV,0.09451906859966251
