,Bias
CoxReduced,-1.1699172123826471
Cox,-0.86994387989126
Cox-TV,-0.8965558897573248
CoxNet,-0.8873840328305623
GradBoost,-0.7903681576039966
RSF,-1.0108333539450285
KM,-1.4847237930693555
Gompertz,-0.8923609636076693
DeepPCH,-0.9015588690391194
DeepSurv,-0.809188643555293
DeepHit,-0.6370260337341126
RRF-TV,-0.8706906566283406
