,Mean AUC
CoxReduced,0.80984908226938
Cox,0.8571660584204025
Cox-TV,0.8737529725558358
CoxNet,0.8578307932343958
GradBoost,0.8535083741387247
RSF,0.8499543183509681
KM,0.4999999999999999
Gompertz,0.857064838021512
DeepPCH,0.8608461575241457
DeepSurv,0.8573092426996977
DeepHit,0.8612205369363563
RRF-TV,0.8650879670006663
