,MAE
CoxReduced,2.6624105343885787
Cox,2.367249881931807
Cox-TV,2.386919920029385
CoxNet,2.371793229434878
GradBoost,2.387903068908169
RSF,2.519932743874884
KM,3.605818767038999
Gompertz,2.3662232206953577
DeepPCH,2.367777291420424
DeepSurv,2.342429611256452
DeepHit,2.2542481451818723
RRF-TV,2.4885397632880717
