,Mean AUC
CoxReduced,0.7898642871533934
Cox,0.8448164025985335
Cox-TV,0.8651377464976308
CoxNet,0.8458242479100965
GradBoost,0.8422516385199103
RSF,0.8384268294090176
KM,0.5
Gompertz,0.8448498770374612
DeepPCH,0.8506087621454778
DeepSurv,0.84523165021563
DeepHit,0.8498050856061158
RRF-TV,0.8591405360336621
