,time,CoxReduced,Cox,Cox-TV,CoxNet,GradBoost,RSF,KM,Gompertz,DeepPCH,DeepSurv,DeepHit,RRF-TV
0,1,0.7925227206283728,0.872686590201163,0.8661254609173394,0.8715147402493214,0.84921124147493,0.8630288803156956,0.5,0.8684859869381348,0.8767524095208772,0.8693625674411528,0.8741156563457665,0.8685109202404483
1,2,0.784588446180953,0.8653082780640751,0.8572754495301658,0.8640495638136454,0.8487125498814461,0.8547381155851295,0.5,0.8626857216034954,0.8711520995146361,0.8632006839418727,0.8724263776410547,0.8501709980442175
2,3,0.7763659253431217,0.8521061748661526,0.857916802923014,0.8512829700613905,0.8411235079842149,0.850269993592768,0.5,0.8502449170347363,0.8578831414698067,0.8496113100931503,0.8579521048982142,0.8525895586479445
3,4,0.7725032691731283,0.8412419120321071,0.8529044355490281,0.841060819695139,0.8301619787083921,0.8372055287327751,0.5,0.8392255778082791,0.8478496918249235,0.8400796237682797,0.8452157734540191,0.8477586868818152
4,5,0.769461375943749,0.8370262588109246,0.8493112757648896,0.8369102524848202,0.8278290779884854,0.8318450874613696,0.5,0.8349805058562593,0.8454231564085414,0.8365961963773233,0.8404686382866643,0.8470212155647375
5,6,0.7763659343872922,0.8404501733708413,0.8547052335398972,0.8403693488826749,0.8318372239486036,0.833929582193622,0.5,0.8389779843932965,0.8468027135976481,0.8399095675427214,0.8431360604806599,0.8506267559719378
6,7,0.7761273456932422,0.8405677169050436,0.8574256579265906,0.8408738091827184,0.8309403283925163,0.8335643048676495,0.5,0.8388360791774037,0.847221467731756,0.8397353645539118,0.8441054511229578,0.8542457353564541
7,8,0.767654777809845,0.8341944485193864,0.8547410815018167,0.8353182511397123,0.8254373850821822,0.8291979905772502,0.5,0.8328355922925389,0.841862025688295,0.8335659389475714,0.8416227672544548,0.8530704191809448
8,9,0.7681047169020542,0.8336414352122401,0.855281169890874,0.8345454617604611,0.8249913662418185,0.8293444295627275,0.5,0.8319442519105669,0.8403532248878812,0.832766880584479,0.8411130115260335,0.8557940080581509
9,10,0.7747511299282812,0.8379706999203925,0.8620070600596461,0.8388033060654287,0.8303759431972222,0.8325614458024324,0.5,0.8364705510743773,0.8446416302772842,0.8366551270906671,0.8443751196663986,0.859989966886415
10,11,0.7756499343709762,0.8375579636415587,0.8612956624287784,0.8384134410017937,0.831847654086368,0.832922981917638,0.5,0.8363944094804436,0.8439459838762637,0.8367227686929507,0.8438298881507837,0.8612684432054473
11,12,0.7817849729982093,0.8418815643237744,0.8641916784439971,0.84266913944119,0.8352393870017022,0.835736129970063,0.5,0.8401354417512695,0.8459975560980153,0.840647734026269,0.8467064466770091,0.8630383820548683
12,13,0.784247674592523,0.8420383612237713,0.8625944972304227,0.8430558025646449,0.8373666160064853,0.8369018589425066,0.5,0.8408550486743931,0.8465619813426759,0.8413066538235067,0.8460534515541315,0.8611737616647721
13,14,0.776988672664912,0.8342217062446386,0.8580029200322796,0.8352665555916341,0.8309155440249755,0.8292151121326585,0.5,0.8333566875144062,0.8391079138780275,0.8340160643109249,0.8378437061994621,0.8561568956409207
14,15,0.780660897376121,0.8344714929258807,0.8580683779367692,0.835498961208791,0.833652608819428,0.829874175840077,0.5,0.8335328795330004,0.8395576249542528,0.8352868816191361,0.8386036194212512,0.8556338596815077
15,16,0.7857598754581807,0.8379524246949327,0.8610721337799404,0.8391631443467942,0.8394746316037062,0.833606815920545,0.5,0.8382936003656348,0.8435486842253664,0.839917316411264,0.8420948578091474,0.8581334178227185
16,17,0.7907253621582973,0.8415161935600896,0.8655309077393395,0.842945543679209,0.8434839953720956,0.8372054374182212,0.5,0.8425017525510622,0.8470178648692168,0.8437404783508426,0.8466037831111473,0.8592590723567044
17,18,0.7970860223070069,0.8449150550624117,0.8705926252703448,0.8462970822828174,0.848329372108863,0.8410005846881806,0.5,0.8461901071207746,0.8496590172466233,0.8466445834115591,0.849504115006097,0.8633539842323393
18,19,0.7985714915030439,0.8456870138729062,0.8681899283348467,0.8471899596472311,0.8489987376894346,0.8396932588744205,0.5,0.8473034636008181,0.8507138054384915,0.847273824873291,0.8501106806806387,0.8607072235236088
19,20,0.8021994599247069,0.8449599203448261,0.8678271560025921,0.8464338545649385,0.8479856309142852,0.8370078635916454,0.5,0.8457273463722879,0.8495269586207719,0.8461375988066241,0.8488525383409737,0.8585736811738172
20,21,0.8034510425588499,0.8439878842286539,0.8694976220048677,0.845495517173474,0.84880438594116,0.8368678521027572,0.5,0.8462105299781186,0.8510390283065243,0.8463551368379704,0.8512318131344021,0.8603097230712348
21,22,0.8071947737333302,0.8464005419133275,0.8729422438937039,0.8484165839608586,0.8507900204705126,0.8365244028240622,0.5,0.8488564010820633,0.852863197302929,0.8484216688560703,0.8520621274032552,0.8610116888322442
22,23,0.8165720709251038,0.8561935848261935,0.8829277298936951,0.8583388848022753,0.8621757861283771,0.8472148611756898,0.5,0.8590291504047523,0.8622290580715968,0.8582905498092596,0.8611140302957235,0.8689936661214116
23,24,0.8201497178419831,0.8611384378560439,0.8858009202587666,0.8632685314746849,0.8660204474350953,0.849403443160925,0.5,0.8644665654467216,0.8665500748444466,0.8633419488431837,0.866622804596644,0.8689655012130666
24,25,0.8353362356524343,0.8736020319919888,0.8941193379171417,0.8757869048108377,0.8784480748817896,0.864085939409672,0.5,0.8775977255245309,0.8782080883991641,0.875312438100375,0.8789324490047365,0.8759905466486562
