,Bias
CoxReduced,-1.3396368636156555
Cox,-1.021813651505474
Cox-TV,-1.159485412230878
CoxNet,-1.0576726327597166
GradBoost,-0.9944853927747829
RSF,-1.222223118422256
KM,-2.4969894005214672
Gompertz,-1.0807201061815133
DeepPCH,-1.1602302749354165
DeepSurv,-0.9954176545800376
DeepHit,-0.7423416649468415
RRF-TV,-1.04067294926325
