,Bias
CoxReduced,-1.4781551538009579
Cox,-1.1480911707214143
Cox-TV,-1.1954540430142149
CoxNet,-1.178397865729453
GradBoost,-1.2214249703580256
RSF,-1.4560066156808196
KM,-2.3200298702453805
Gompertz,-1.2067001097808328
DeepPCH,-1.2475693229636253
DeepSurv,-1.1043717730102538
DeepHit,-0.8329595154037778
RRF-TV,-1.3188826361590829
