,MAE
CoxReduced,2.6722762490815595
Cox,2.3090825876793586
Cox-TV,2.3466711400158418
CoxNet,2.3205983410139814
GradBoost,2.440960909294833
RSF,2.4566927372307186
KM,3.213561981794233
Gompertz,2.39334995438124
DeepPCH,2.3440906015441403
DeepSurv,2.3603739241040635
DeepHit,2.1932974345050864
RRF-TV,2.4456178432436086
