,IBS
CoxReduced,0.12774550002650975
Cox,0.11470045344158669
Cox-TV,0.10673652144965368
CoxNet,0.11421893465202455
GradBoost,0.11569368634461989
RSF,0.1193949215634972
KM,0.18394580442597377
Gompertz,0.11405661404157018
DeepPCH,0.11377881228727271
DeepSurv,0.11445401703733
DeepHit,0.11510716309650354
RRF-TV,0.11092045773086451
