,Bias
CoxReduced,-1.394670588695643
Cox,-1.0341934063894553
Cox-TV,-1.1349187102789973
CoxNet,-1.0720454174840721
GradBoost,-1.140160357157991
RSF,-1.485664736773457
KM,-2.955289486655831
Gompertz,-1.078955842930839
DeepPCH,-1.2113468005253674
DeepSurv,-0.9659710591056156
DeepHit,-0.7222435818776347
RRF-TV,-1.3081741795042787
