,time,CoxReduced,Cox,Cox-TV,CoxNet,GradBoost,RSF,KM,Gompertz,DeepPCH,DeepSurv,DeepHit,RRF-TV
0,1,0.8232046907589243,0.8776627623683608,0.875462193101921,0.8764544245090142,0.8669439081840455,0.8792898423301861,0.5,0.8740349711020943,0.886094270083216,0.8783972845539937,0.8811846828712601,0.864904086011079
1,2,0.8074584524958455,0.8663342831881784,0.8640026383719096,0.8654377445615923,0.8538852763940923,0.8611418897626323,0.5,0.8650505374012922,0.8747238250129057,0.8659287192574413,0.8726673532454798,0.8533863229455172
2,3,0.8047937880103074,0.8641096488526039,0.8711890753987901,0.8631080749280777,0.8526543027107224,0.8581047217503052,0.5,0.8630776016034569,0.8700063942522456,0.8630619073235527,0.8699238525026052,0.8618809574252468
3,4,0.8051752471164936,0.8611565226671865,0.8718815487599016,0.8608030438281472,0.8504747845361773,0.8539678731790465,0.5,0.8604697651731321,0.8673302665893918,0.8612625577609142,0.867031935639982,0.8646445240295465
4,5,0.804410970903726,0.8614557880287044,0.8711079872918639,0.8612792942492435,0.8509323045397819,0.8534534395130642,0.5,0.8606902121112595,0.8681006407320677,0.861609295860335,0.8658167133573048,0.8655839987877433
5,6,0.8135392412749015,0.8674469909488391,0.8784180147322675,0.867498773753997,0.8589368323839983,0.8591873743455463,0.5,0.8676725388823829,0.8739279413904959,0.8682917159552275,0.8719505353219043,0.8726315109277222
6,7,0.8126727974415169,0.8664680597267091,0.8789339170709535,0.8666626841694509,0.8576392030809454,0.8577255051219606,0.5,0.8664170931665487,0.872891382858067,0.8672264483383061,0.8720744305288328,0.8735534377939685
7,8,0.804719610358251,0.8604674859587294,0.8766714446831136,0.8611977616936835,0.8520232688444627,0.8530927388570658,0.5,0.8604267346312262,0.8664533894710712,0.8611642061861682,0.8674725522467256,0.8708267771769367
8,9,0.804581766531566,0.8583863026751931,0.8750470487609826,0.8589587830213751,0.8500313884448909,0.8501062890579855,0.5,0.8581800961369996,0.8622800680136691,0.8585043944087077,0.8635133543091207,0.8687985544735695
9,10,0.8094217968864305,0.8602506641266725,0.8787289242104376,0.8608699568478498,0.8541453118620144,0.8528195540347695,0.5,0.8606180579200987,0.864780244487632,0.8606288761092458,0.8651567079613203,0.8726925186644949
10,11,0.8133432885948899,0.8614297448173796,0.8811795976041256,0.8620921968938438,0.8563346846458204,0.8541195063920416,0.5,0.861820462838401,0.8652355914349299,0.8622926334082726,0.8656320659928842,0.8760904650305784
11,12,0.8208513628743899,0.8673746994857844,0.8859161797047319,0.8680525889319207,0.8624591482039549,0.8598280564068548,0.5,0.8676071664760928,0.869759386081773,0.8682068585097313,0.8705563017804064,0.8809729391863114
12,13,0.825478409516064,0.8690418439688955,0.8859906614892106,0.8698510939401893,0.8653604569021199,0.8620127192408945,0.5,0.86948941496693,0.8709324829831726,0.8698746324559131,0.8716814976265579,0.8815483483228006
13,14,0.8205036965882252,0.8615506578978365,0.880988481998761,0.8624806235229234,0.8601107262529772,0.8564216591653431,0.5,0.8624180361136092,0.8640866508047237,0.8631234688655568,0.8641305730564219,0.8776194515777334
14,15,0.81958913257886,0.8589742369324926,0.8778175444458185,0.8599762859920203,0.8596446721588207,0.8540082229126177,0.5,0.8599546092715046,0.8623843290304845,0.8611361888421277,0.8621269244248567,0.873581937492127
15,16,0.8235114735309703,0.8607935035772347,0.8802649119990987,0.8618667022561168,0.8631796705144502,0.8566476251037608,0.5,0.8623777405579818,0.8646287319723637,0.86383709560995,0.8640166937888681,0.875052667559338
16,17,0.8284325210123948,0.8657502329601114,0.8855105785643479,0.8669477585465375,0.8685836219448475,0.8616556435242546,0.5,0.8673403333132038,0.8696388650659812,0.8688518831581034,0.8689573922658556,0.8790257993775181
17,18,0.8310496029580313,0.8677148710126292,0.8869214908002535,0.8690335965724548,0.8706399573197044,0.8642817121346694,0.5,0.8690358528542261,0.8713484537700735,0.8704457002017705,0.8705107839716797,0.8806358377770758
18,19,0.834241803148681,0.8689288266939259,0.8862777298566096,0.8703606273077142,0.8728152727764824,0.8650662936758698,0.5,0.8705744435686514,0.8733070298680097,0.8716715452289624,0.872223617593797,0.8801959184243922
19,20,0.838725884322578,0.8708010383099003,0.889007305551645,0.8723047468176666,0.8750221162804461,0.8659761368328276,0.5,0.8718832870796196,0.8753430971574032,0.8733817833248474,0.8741490865723041,0.881692969588227
20,21,0.8397097533890777,0.8692872755470473,0.8902002914758586,0.8708003152229027,0.8749136853843276,0.8645702638218218,0.5,0.8711815488889211,0.8754090387458047,0.872212828744632,0.8745725961807875,0.8811262147435943
21,22,0.844922722095147,0.872663411756499,0.892995105005012,0.874576944421146,0.8775568665240816,0.8658549243733051,0.5,0.8747861875982831,0.8784101908393609,0.875348673825933,0.8772582579158953,0.8821360532822589
22,23,0.8528626530106282,0.8807508735940414,0.9006913429401606,0.8826361407612413,0.8866747507845862,0.8756072584553316,0.5,0.8826562666529132,0.8855491849320758,0.883024187531154,0.8849387991492529,0.8887508363736164
23,24,0.8518955856773341,0.8812933057408778,0.9016788193633979,0.883152179874267,0.8867907623831793,0.8754758621024432,0.5,0.8833206930744613,0.8860856910167924,0.8840060090956521,0.8857452641810152,0.8875113605168307
24,25,0.8682304007104654,0.8954291366374769,0.9111257274366844,0.8973366958308733,0.9023733568868304,0.8934998068420652,0.5,0.8979048423424404,0.8998675859147247,0.8983146844751106,0.8996436833924175,0.8990055833591657
