,MAE
CoxReduced,2.5579484386523057
Cox,2.2631762746359994
Cox-TV,2.278355749490135
CoxNet,2.2686135322517766
GradBoost,2.294633830507239
RSF,2.3898997256779344
KM,3.330836329496859
Gompertz,2.2735282134213253
DeepPCH,2.2648172680485565
DeepSurv,2.2490230541955234
DeepHit,2.143409691043602
RRF-TV,2.3650711303177947
