,MAE
CoxReduced,2.328486753201725
Cox,2.034450986324642
Cox-TV,2.0397276190708036
CoxNet,2.0418630128966306
GradBoost,2.0897628148273286
RSF,2.1039432663871174
KM,2.7254141718411384
Gompertz,2.0699156669123355
DeepPCH,2.0385499336822828
DeepSurv,2.0438303247786624
DeepHit,1.899707702326452
RRF-TV,2.0935897397824466
