,MAE
CoxReduced,2.37672201985027
Cox,2.103189655140496
Cox-TV,2.1451561223356626
CoxNet,2.1076375989815723
GradBoost,2.10280488557557
RSF,2.182080649394635
KM,3.05291874187097
Gompertz,2.108414263604055
DeepPCH,2.1198677886354504
DeepSurv,2.1035299757641552
DeepHit,2.006862248434957
RRF-TV,2.1565853296537107
