,time,CoxReduced,Cox,Cox-TV,CoxNet,GradBoost,RSF,KM,Gompertz,DeepPCH,DeepSurv,DeepHit,RRF-TV
0,1,0.01923911991062395,0.01841222825799303,0.01809274514618633,0.01842442288711428,0.019131223693428782,0.019035487127390442,0.020063162691822144,0.018455472284816827,0.018598122010641836,0.01872806063874118,0.018770776924171284,0.01908591269742668
1,2,0.0371413603356718,0.03462650742138461,0.0346672615946338,0.03467735559931398,0.036337093307518595,0.03599459994096683,0.039353802341143454,0.03506293663874883,0.03462563469319768,0.03498602088189833,0.03535779134951076,0.03564040833731377
2,3,0.05449845609502322,0.05013320344482276,0.04863778214717908,0.05012238650014335,0.05174069997290279,0.05109051401816088,0.05745245602300784,0.05032927923595078,0.049152309595876444,0.04978172980017037,0.05093287966696403,0.05002590389600711
3,4,0.07536501070751286,0.0688623040242606,0.0658561528353867,0.06880840267529839,0.0704505858418577,0.06980109882697423,0.08104840153297016,0.06873717602867087,0.06796000619144474,0.06844213663104666,0.06923723145018673,0.06822200630926853
4,5,0.09592845613199127,0.08826306840772144,0.08515327978854016,0.08831795567212761,0.09000794368402909,0.08914414506898849,0.10596452041090712,0.08868033149403892,0.08754575150284026,0.08815323415228254,0.08842753067158776,0.08721181820789248
5,6,0.10917819454730046,0.10079448023170823,0.09672495277526601,0.100678005662365,0.10259375998438917,0.10200375638737175,0.12338348349006699,0.10100919486955019,0.10038269991559264,0.10076143940563016,0.10200096713625237,0.09891898361308311
6,7,0.12283780880032572,0.11187582628065117,0.10787574606958245,0.111696134584249,0.11408261030107379,0.11362144095617135,0.1397092378818538,0.11204568883777984,0.11156016806368567,0.11186358340437629,0.11315816811229047,0.11037392920002084
7,8,0.13699614962515727,0.12457568929465267,0.11954129235705567,0.12436277761566464,0.12680439289211312,0.12722957055908163,0.15713574543508133,0.1247340073996439,0.12344263564227147,0.12464840148231979,0.12457632961478814,0.12078265320529774
8,9,0.1539939546203481,0.1382361533341461,0.13169602663320962,0.13800779382636696,0.14117028764977585,0.1404017752153959,0.17362427951104908,0.13800332364924547,0.13542137917212477,0.13792396118824682,0.13661888397150018,0.1328281653133147
9,10,0.16467759878393345,0.14639511878162179,0.13854261969506326,0.14613633883809218,0.1491837284079798,0.14880953622796006,0.19016893205149213,0.1462686747490582,0.14336533194301979,0.14636276694046846,0.1446093965127282,0.13998663910712558
10,11,0.16855066634634835,0.1498351979263036,0.14088143551615465,0.1497137607987259,0.15372275689265485,0.15454837086480752,0.20365413511238223,0.15018074018538766,0.1480991674813477,0.15046348656817324,0.14883293833735806,0.14313771532415548
11,12,0.17511089663745527,0.15424922454084194,0.14544303998694127,0.15423793675962244,0.15871390284448478,0.16014904488556234,0.21830172275560772,0.15604631099397864,0.15440768084223816,0.15589058594301103,0.1539542659542792,0.14808562392476918
12,13,0.18197686086363182,0.15870175829859612,0.15074257882928843,0.15858396018933044,0.16289153104664517,0.1641524499411468,0.22389135723723805,0.1602892564928811,0.15756571745594156,0.16012493160862082,0.15855492288937836,0.1539675257439468
13,14,0.18791935201254045,0.16269864673197273,0.15385992671444457,0.1624113198489683,0.16652343415792295,0.16727476019782367,0.23033523283268956,0.1633400978248365,0.16063488597646905,0.1635304693485227,0.16201439025201775,0.1573459063337095
14,15,0.19421222805998703,0.16964306789402114,0.15957320970838945,0.16919199845614505,0.17227137686563995,0.17390901669171505,0.23981841238333423,0.1703925878633447,0.1670535076960518,0.1702165860649818,0.16953447590538243,0.16410838529775784
15,16,0.19457060002982385,0.16838430963049913,0.16035711100542344,0.16790214749786825,0.1711145983415279,0.17521119548361802,0.24478487176310057,0.16872139575952416,0.16714136173944494,0.17007216142136736,0.1691723012124528,0.1668746144401979
16,17,0.19698269236544239,0.1700272946323051,0.16132916441284662,0.16933969180337957,0.1716268146623936,0.1765674159429897,0.24851696352626593,0.17003043409613772,0.1679942258179773,0.17117016851852004,0.16803897654709543,0.16767289240574473
17,18,0.19141790556668356,0.1626703061373432,0.15379761047709667,0.16216161533783266,0.16386192570324976,0.1714583658153274,0.24995305942904683,0.16265745500482529,0.16233479379672294,0.16393707356855636,0.16071825018355188,0.16229308829507635
18,19,0.18898268283164407,0.16232952242715215,0.15387246888657727,0.1616797746626584,0.16355735883904077,0.17119595999635315,0.2503749242785573,0.16212003359426252,0.1626967750302032,0.16320259388042285,0.1614350167153343,0.16264376735048502
19,20,0.191430849453687,0.16544752472961669,0.15736715301812923,0.1649760355303565,0.16551693338664994,0.1743983021867103,0.2495117231236105,0.16411517532927344,0.1644448328655743,0.16499976524921695,0.1626996767143383,0.16681014373955388
20,21,0.19182924247198752,0.16928346949814108,0.15956214626710144,0.1686964610284538,0.16767844827304348,0.1776783844361973,0.2489693859224922,0.16664386843880274,0.16664080469439047,0.167090314589147,0.16552571515982997,0.16798882484216543
21,22,0.1887119015503627,0.16530277338216162,0.15541393378966242,0.1651142200545307,0.16404713118890132,0.17576285917472276,0.24386291349966344,0.16389726094867588,0.16228044732615893,0.1636146252071296,0.16208580513660703,0.16574530459917416
22,23,0.18247089657150076,0.16236141189186312,0.15343043424246186,0.16223274396418538,0.16066915266848464,0.17375802241625174,0.23764400048483247,0.16037140717662393,0.15891562255493782,0.16135603952913521,0.1590731913220476,0.16463636458812705
23,24,0.1742523259543835,0.15328226205967566,0.14555176838968512,0.15313034990898003,0.15200584544684684,0.1683887830135091,0.2262991067527238,0.15110479540345234,0.15017839743815442,0.15134713923801027,0.14986012472670937,0.16050545292488472
24,25,0.16682384645234347,0.14618257675273005,0.1384399856642614,0.14566469385724473,0.1434651754491162,0.16205151536305698,0.22296535432873288,0.14288714825049684,0.14279925613425284,0.14329497250256643,0.15597004233221218,0.15361509833822662
