,MAE
CoxReduced,2.4291165825480494
Cox,2.1562257465225585
Cox-TV,2.1532691996995093
CoxNet,2.1620879701786286
GradBoost,2.185158187048963
RSF,2.267685306783055
KM,2.9059115069268078
Gompertz,2.1706560878828807
DeepPCH,2.1420941064149965
DeepSurv,2.144157915669222
DeepHit,2.028741873727225
RRF-TV,2.2189528187276886
