,MAE
CoxReduced,1.7254915752647673
Cox,1.5696703631039217
CoxNet,1.5720710791842434
GradBoost,1.5414422932894982
RSF,1.6207721076342363
KM,1.9298185257206442
Gompertz,1.5730673512431421
DeepPCH,1.5819968185776743
DeepSurv,1.5874168381093556
DeepHit,1.531106197304151
