,MAE
CoxReduced,2.5493194451309678
Cox,2.2743320963596045
CoxNet,2.2755685667029635
GradBoost,2.2890898232614156
RSF,2.3801510829847015
KM,3.3208593167197034
Gompertz,2.2784248868256696
DeepPCH,2.287212617369275
DeepSurv,2.2742350329451946
DeepHit,2.2417702977998135
