,IBS
CoxReduced,0.13061079270751322
Cox,0.11767395128379664
CoxNet,0.11714523918812625
GradBoost,0.1186857912153394
RSF,0.12246929844265068
KM,0.18164267065611653
Gompertz,0.1169035352143667
DeepPCH,0.12360452625233283
DeepSurv,0.11786908655359501
DeepHit,0.12494063561284552
