,Bias
CoxReduced,-1.1838828999438173
Cox,-0.8898821015856263
CoxNet,-0.9061792395601664
GradBoost,-0.8123288475278266
RSF,-1.0320880865804074
KM,-1.4822081648194918
Gompertz,-0.9187057889119619
DeepPCH,-0.8345791784182927
DeepSurv,-0.8414860362284265
DeepHit,-0.6508300920354462
