,Bias
CoxReduced,-1.4145108091165102
Cox,-1.08456708218574
CoxNet,-1.111539333011688
GradBoost,-1.154378457602019
RSF,-1.3989938898019847
KM,-2.7506284242395043
Gompertz,-1.133493853377085
DeepPCH,-0.9020532531180004
DeepSurv,-1.0120735164820989
DeepHit,-0.8395602507514603
