,MAE
CoxReduced,2.422351927902218
Cox,2.172999641169784
CoxNet,2.1743514476656993
GradBoost,2.1851691562017774
RSF,2.25975381831199
KM,2.895610391236158
Gompertz,2.1802097507020926
DeepPCH,2.1847430145121494
DeepSurv,2.1845039105855375
DeepHit,2.1284931751633005
