,Bias
CoxReduced,-1.4747861236598458
Cox,-1.1903935448805167
CoxNet,-1.2106134207096415
GradBoost,-1.2076338267332043
RSF,-1.416988203651914
KM,-2.3118056362856767
Gompertz,-1.2228874457937187
DeepPCH,-0.9844243313829597
DeepSurv,-1.100574767476605
DeepHit,-0.9221238546321963
