,MAE
CoxReduced,3.437510184182014
Cox,3.0181732583093215
CoxNet,3.0182973242241307
GradBoost,3.070375141075136
RSF,3.2062371681307202
KM,5.281892361103689
Gompertz,3.015955140439085
DeepPCH,3.0339601566766423
DeepSurv,2.9794811206140284
DeepHit,3.016190968627412
