,Bias
CoxReduced,-1.5217731232800653
Cox,-1.130593827430086
CoxNet,-1.1783037872957884
GradBoost,-1.3418375825753448
RSF,-1.6418034689889098
KM,-3.078845107843976
Gompertz,-1.1862712158581126
DeepPCH,-1.1582936138011057
DeepSurv,-1.1117001460276512
DeepHit,-0.8774227269674436
