,IBS
CoxReduced,0.14398188058890726
Cox,0.12859158486857533
CoxNet,0.12810827290299637
GradBoost,0.12936859030441508
RSF,0.1336181143520269
KM,0.1893194984361373
Gompertz,0.12886955541796455
DeepPCH,0.12877772506124033
DeepSurv,0.12865797016284716
DeepHit,0.13007088028565147
