,time,CoxReduced,Cox,CoxNet,GradBoost,RSF,KM,Gompertz,DeepPCH,DeepSurv,DeepHit
0,1,0.7976951412281243,0.8653119357483783,0.8640304882409648,0.8484198998471739,0.8354614411572807,0.5,0.8596377666290618,0.8643069075967995,0.8576799851582864,0.8680756637090121
1,2,0.7899375787325195,0.854225083291565,0.8529525212501093,0.8394915773012204,0.8366170930313419,0.5,0.8510781439276984,0.8565373952418186,0.8500757278211111,0.8570715584090505
2,3,0.7897207547634508,0.852382728464399,0.8518775065743455,0.8397836301467854,0.8396987974629984,0.5,0.8508591961269417,0.8545284042511554,0.8491924624828491,0.857437817369055
3,4,0.7889474030830557,0.8488277653000239,0.8485322955582657,0.8365090941954274,0.8364411130797754,0.5,0.8471495661031181,0.850108317978922,0.845675168971961,0.8516485850054487
4,5,0.7898484580432847,0.8488060389236398,0.8486452571203327,0.8369143994848359,0.836066462317231,0.5,0.8464126790619128,0.8488241721003413,0.846049407199337,0.850646824853773
5,6,0.7974650811684948,0.8547826598708625,0.854679965800538,0.8442010868295904,0.8411032599336626,0.5,0.852537843020136,0.854128762195243,0.8520853507540275,0.8542603003996015
6,7,0.7977282908053402,0.8549748940673643,0.8551301401545873,0.8440869929326684,0.8416912002352073,0.5,0.8529864758696186,0.8547226261773583,0.8521617081123785,0.8538396677191553
7,8,0.7902921882635473,0.849638675757824,0.8502100962485355,0.839811629971888,0.8379587602911496,0.5,0.847716974002632,0.8506539130296542,0.8469059378085955,0.8502660610544097
8,9,0.7882254317815272,0.8464221769903717,0.8468241351909771,0.8363501740759898,0.8338333061108013,0.5,0.8444214545503343,0.8464632100248471,0.8437393365560213,0.8453701951531771
9,10,0.7935469230474145,0.8486831654888423,0.8491936262690137,0.8413368876186254,0.8372268163660512,0.5,0.8474606980739843,0.8483619983396242,0.8471129761004743,0.8471529146842052
10,11,0.7997607985450781,0.851818295797487,0.8522674384555922,0.8454137622893213,0.8405863448969877,0.5,0.8506943650065615,0.8513626079491072,0.8507835567481828,0.8495606077695769
11,12,0.8075998928919605,0.8583275759205626,0.8587330718444105,0.8519425673076307,0.8469709707953457,0.5,0.8568013453842568,0.8572400813322394,0.8569381155655288,0.8557637175471982
12,13,0.8107840025323076,0.8592840849868764,0.859841058032046,0.8541828495545608,0.8486404311544097,0.5,0.8584256086115772,0.858321641730151,0.85849823284906,0.8572066344604811
13,14,0.8065867387426116,0.8531600087178258,0.8538311824240975,0.8503528261381532,0.8439547410597377,0.5,0.8526740418401835,0.8527733576875766,0.853218698119393,0.8510290968808782
14,15,0.8056920020829432,0.8499295375842841,0.8509604206153295,0.8496842368578547,0.8412028736727639,0.5,0.8498328131449014,0.8503166883631804,0.8508115270722488,0.8492124339966813
15,16,0.8101659301430231,0.8525529827104877,0.8535900133695244,0.8539146702916992,0.844160094887011,0.5,0.8531404250952962,0.8532771089236745,0.8542412481967547,0.8522307185655026
16,17,0.8142950520607368,0.8560776034794609,0.8572486087469726,0.8579551102446148,0.848993793210536,0.5,0.8566870686085739,0.8574762944995227,0.8582833938766171,0.8558095092002209
17,18,0.8177573951312737,0.8598925243718598,0.8611363045974907,0.8620513459652555,0.8530078326128883,0.5,0.8602168642195784,0.8609803406882909,0.8620464372284757,0.8596038129940293
18,19,0.8211989548537267,0.8599612102804061,0.8613202663436876,0.8631554804459618,0.8531123573050815,0.5,0.8610321901530799,0.8614613215472293,0.8623820134459601,0.8591095884496298
19,20,0.8253901428581694,0.8615386697908033,0.862761886240133,0.8653295213217443,0.853746714732306,0.5,0.8622454214108393,0.8627071194781957,0.8636483888770528,0.8616480619692826
20,21,0.8263722900127564,0.8599606911758699,0.8612512094660568,0.864828477869362,0.8514391026986181,0.5,0.8612343015826045,0.8629243472754802,0.8631589039448444,0.8624535411935866
21,22,0.8317606151881195,0.8636227511718388,0.865085464592945,0.8685602447741865,0.8523064692674839,0.5,0.8652346652463613,0.8668952651018493,0.8669384626670993,0.8655432569496185
22,23,0.839159018047263,0.8699559533296719,0.8714540987422754,0.8758800345639164,0.8602285017265623,0.5,0.8716090188295014,0.8733275325422108,0.8722489459469718,0.8717227942610294
23,24,0.8395260665151273,0.8719522502344633,0.8733758733936603,0.8776632164892751,0.8620692133777563,0.5,0.8740139206129558,0.8742132546050183,0.8734478660977543,0.8726957203335383
24,25,0.8543056491567838,0.8848057552784916,0.8863347964988604,0.8920064311714897,0.8787670620773593,0.5,0.8875725865575742,0.8870797382519449,0.886171255974743,0.8856159628687416
