,MAE
CoxReduced,2.772639218954457
Cox,2.452654266011225
CoxNet,2.460529076223877
GradBoost,2.513126953993599
RSF,2.6208768277849237
KM,3.669835273663425
Gompertz,2.4738851145311043
DeepPCH,2.4280324846125665
DeepSurv,2.4154004021762616
DeepHit,2.3267421620872275
