,Mean AUC
CoxReduced,0.8223270931793878
Cox,0.8670800737922902
CoxNet,0.8676572621462592
GradBoost,0.8647819724568624
RSF,0.8582345387718672
KM,0.5
Gompertz,0.8676578976376991
DeepPCH,0.8692227450717701
DeepSurv,0.8672541714016215
DeepHit,0.866837185074515
