,MAE
CoxReduced,2.6578304255522673
Cox,2.2832326697494927
CoxNet,2.297466661018323
GradBoost,2.4418023086657494
RSF,2.4357243356396956
KM,3.20920608619031
Gompertz,2.364854901213226
DeepPCH,2.498901853323812
DeepSurv,2.484052948324392
DeepHit,2.3650890432898235
