,IBS
CoxReduced,0.12750111084186888
Cox,0.11578171164519434
CoxNet,0.11535920039115656
GradBoost,0.11625532181678656
RSF,0.11990666210562943
KM,0.18340780227510334
Gompertz,0.11495016429493288
DeepPCH,0.11804420580007728
DeepSurv,0.118653271837121
DeepHit,0.1210275939022379
