,Bias
CoxReduced,-1.4159173016451985
Cox,-1.0566953121451754
CoxNet,-1.1113617027516913
GradBoost,-1.1878231855205987
RSF,-1.3708679487347217
KM,-2.7506284242395043
Gompertz,-1.1035164954665988
DeepPCH,-1.3130230646183547
DeepSurv,-1.2397050307896984
DeepHit,-0.8548063241310839
