,Mean AUC
CoxReduced,0.8098610880789618
Cox,0.8547928073825632
CoxNet,0.8554676590168546
GradBoost,0.8516846075263843
RSF,0.845659168038955
KM,0.5000000000000001
Gompertz,0.8557030285489295
DeepPCH,0.8386099614493661
DeepSurv,0.8254367845021346
DeepHit,0.8291229835468555
