,MAE
CoxReduced,2.310239418917601
Cox,1.9948981665490084
CoxNet,2.0059397980041123
GradBoost,2.0865434191439696
RSF,2.096263147793748
KM,2.7176145401146914
Gompertz,2.0426908374977186
DeepPCH,2.204458942728076
DeepSurv,2.1155068927119
DeepHit,2.0817803382836986
