,MAE
CoxReduced,2.538987503474866
Cox,2.2562745120885976
CoxNet,2.2666680402975072
GradBoost,2.2971900040121236
RSF,2.37005046787557
KM,3.3208593167197034
Gompertz,2.2608368232017693
DeepPCH,2.387375795392666
DeepSurv,2.330785215796994
DeepHit,2.2261223351563144
