,Bias
CoxReduced,-1.2421149753826213
Cox,-0.8746970579934525
CoxNet,-0.915256961457623
GradBoost,-0.8366182806563265
RSF,-0.9188786389677833
KM,-1.5934109685898301
Gompertz,-0.8670419710222946
DeepPCH,-1.116060103526306
DeepSurv,-0.8278686126997805
DeepHit,-0.8123610576986761
