,Bias
CoxReduced,-1.3816469764981554
Cox,-1.046714658928484
CoxNet,-1.10345459762033
GradBoost,-1.1500951065245557
RSF,-1.393470623273474
KM,-2.9462569264020892
Gompertz,-1.0563002264497787
DeepPCH,-1.291069149865524
DeepSurv,-1.2276678111900015
DeepHit,-0.7750406299108593
